Name,Value
Filename,p2l1_0000 Annotated 1.jpg
Sensor µm/pixel,3.5131
Camera Zoom,2
Objective Magnification,20
Image µm/pixel,0.0878
Annotations Zoom,0.6309
Annotations µm/pixel,0.1392
Blue Counts,0
Green Counts,0
Yellow Counts,0
Red Counts,26
White Counts,0
O1,9.9
O2,11.03
O3,9.92
O4,8.62
O5,9.18
O6,9.44
wide 1,18.84
Length 1,19.48
wide 2,19.45
Length 2,24.05
wide 3,20.47
Length 3,22.55
wide 4,18.31
Length 4,22.68
wide 5,17.62
Length 5,23.34
wide 6,20.89
Length 6,23.69
