Name,Value
Filename,9_0001 Annotated 1.jpg
Sensor µm/pixel,3.5131
Camera Zoom,2
Objective Magnification,20
Image µm/pixel,0.0878
Annotations Zoom,0.6101
Annotations µm/pixel,0.1439
Blue Counts,0
Green Counts,0
Yellow Counts,0
Red Counts,20
White Counts,0
Length 1 (Blue) µm,9.39
Length 2 (Blue) µm,9.46
Length 3 (Blue) µm,7.22
Length 4 (Blue) µm,7.74
Length 5 (Blue) µm,7.36
Length 6 (Blue) µm,7.82
Length 7 (Blue) µm,7.44
Length 1 (Red) µm,17.85
Length 2 (Red) µm,24.88
Length 3 (Red) µm,18.99
Length 4 (Red) µm,23.84
Length 5 (Red) µm,18.39
Length 6 (Red) µm,18.79
Length 7 (Red) µm,18.35
Length 8 (Red) µm,23.88
Length 9 (Red) µm,17.97
Length 10 (Red) µm,21.97
Length 11 (Red) µm,17.29
Length 12 (Red) µm,22.36
Length 13 (Red) µm,16.36
Length 14 (Red) µm,23.14
